strategy,start,end,CAGR,AnnVol,Sharpe,Sortino,MaxDD,WorstYear,Growth of $1
Nasdaq Comp LRS-Fortress 70/30,1971-02-08,2026-07-07,28.0%,25.1%,0.9387781673719323,1.1703701107681241,-49.3%,-34.0%,855799.0835848103
Nasdaq Comp 60/40 Defense+bonds,1971-02-08,2026-07-07,21.9%,19.7%,0.8877850929637126,1.063410255189549,-36.9%,-22.9%,57235.45952689468
Nasdaq Comp 3x LRS-Defense,1971-02-08,2026-07-07,30.2%,32.5%,0.8451213210047571,0.9904152175640215,-60.2%,-37.8%,2234818.723845182
Nasdaq Comp 3x LRS-VT2 (bond-mom),1971-02-08,2026-07-07,28.0%,36.4%,0.7457093141823963,0.8727278859165756,-66.6%,-41.7%,882660.4311906713
Nasdaq 100 60/40 Defense+bonds,1985-10-02,2026-07-07,21.0%,26.5%,0.7391092979494833,0.9430501817929663,-37.5%,-28.1%,2387.513265943508
Nasdaq Comp 3x LRS-VT (UST10),1971-02-08,2026-07-07,25.4%,33.8%,0.7136756724098973,0.8438823561190806,-55.9%,-30.1%,274151.6361254431
Nasdaq 100 3x LRS-Defense,1985-10-02,2026-07-07,27.4%,44.0%,0.7030760267147947,0.8810114156991438,-67.9%,-45.2%,19538.412913570697
S&P 500 LRS-Fortress 70/30,1950-01-04,2026-07-07,18.1%,20.9%,0.6984871475861945,0.9000870601778597,-50.4%,-40.5%,337503.034436714
Nasdaq 100 3x LRS-VT2 (bond-mom),1985-10-02,2026-07-07,28.8%,50.1%,0.6974908550272364,0.8748837997294813,-77.0%,-55.4%,30430.941210691653
Nasdaq 100 LRS-Fortress 70/30,1985-10-02,2026-07-07,22.6%,32.6%,0.6958736884365039,0.903576926052646,-53.6%,-39.2%,4072.116401559368
S&P 500 60/40 Defense+bonds,1950-01-04,2026-07-07,14.5%,16.5%,0.6487455909780294,0.8071023426127336,-35.2%,-29.6%,31713.049534619073
S&P 500 3x LRS-VT2 (bond-mom),1950-01-04,2026-07-07,20.7%,30.0%,0.6378006088197798,0.777736255491245,-59.8%,-52.5%,1790366.9357025959
Nasdaq Comp 1x SMA200,1971-02-08,2026-07-07,12.5%,13.2%,0.6351787116457962,0.6608467617924266,-45.9%,-26.9%,670.2479691710756
S&P 500 3x LRS-Defense,1950-01-04,2026-07-07,19.2%,27.0%,0.6306781450320609,0.7636934275204019,-56.8%,-46.1%,695412.2380241959
Nasdaq Comp 3x SMA200,1971-02-08,2026-07-07,23.6%,39.5%,0.6285631268924692,0.6524423735729427,-90.1%,-75.1%,123394.36653066581
Nasdaq 100 1x TSMOM,1985-10-02,2026-07-07,14.8%,20.7%,0.6245520925036747,0.7351615487439406,-46.5%,-31.8%,280.2147599205388
S&P 500 3x LRS-VT (UST10),1950-01-04,2026-07-07,19.3%,27.9%,0.6220475212864497,0.7595216502829698,-52.0%,-43.8%,740197.2331424536
Nasdaq Comp 2x SMA200,1971-02-08,2026-07-07,18.5%,26.3%,0.6176244201868428,0.6415038794938118,-75.6%,-54.8%,12426.880081380865
S&P 500 1x SMA200,1950-01-04,2026-07-07,10.5%,10.3%,0.6080650166580511,0.6868016822961245,-23.2%,-16.6%,2069.4008538244175
S&P 500 3x SMA200,1950-01-04,2026-07-07,19.7%,31.0%,0.6016796200819469,0.6773554243575443,-67.7%,-51.4%,970839.8974204891
Nasdaq 100 3x TSMOM,1985-10-02,2026-07-07,23.1%,62.1%,0.6015899186409325,0.7080900534695793,-93.1%,-87.9%,4837.882110938974
Nasdaq 100 2x TSMOM,1985-10-02,2026-07-07,21.1%,41.4%,0.598107562484443,0.7040240527912544,-78.2%,-67.0%,2471.1380486074313
Nasdaq 100 3x LRS-VT (UST10),1985-10-02,2026-07-07,21.4%,46.4%,0.5873062405387861,0.7303758255908399,-79.0%,-50.2%,2748.415830579117
S&P 500 2x SMA200,1950-01-04,2026-07-07,15.3%,20.6%,0.5870261531283706,0.6614190341425229,-49.4%,-35.5%,52465.634822296866
Nasdaq 100 1x B&H,1985-10-02,2026-07-07,15.3%,25.9%,0.5622011024581254,0.7463143934682478,-82.6%,-41.5%,332.16268865184696
Nasdaq 100 1x SMA200,1985-10-02,2026-07-07,12.0%,17.9%,0.5555898140273594,0.6383786859413538,-57.0%,-24.2%,103.03459756644394
Nasdaq 100 3x SMA200,1985-10-02,2026-07-07,20.0%,53.6%,0.5541789835799347,0.6354000936188547,-95.5%,-76.9%,1679.7866802785727
Nasdaq 100 2x SMA200,1985-10-02,2026-07-07,17.4%,35.7%,0.5447216028414876,0.6248775813136767,-85.0%,-54.3%,702.5568081757862
Nasdaq 100 3x B&H,1985-10-02,2026-07-07,15.5%,77.6%,0.5370787260557663,0.7130582277699691,-100.0%,-91.5%,349.5983350756521
Nasdaq 100 2x B&H,1985-10-02,2026-07-07,18.8%,51.7%,0.5341799903170322,0.7092096907336677,-98.8%,-72.7%,1137.1987525289371
S&P 500 1x TSMOM,1950-01-04,2026-07-07,10.3%,12.1%,0.516374626258283,0.5498345290358019,-33.7%,-10.4%,1753.5040192392041
S&P 500 1x B&H,1950-01-04,2026-07-07,11.5%,15.8%,0.5010838979077586,0.6410050385961387,-55.0%,-36.7%,4123.152064884777
S&P 500 3x TSMOM,1950-01-04,2026-07-07,16.1%,36.4%,0.48222722814574764,0.513560738017895,-80.2%,-47.2%,88802.86702518805
Nasdaq Comp 1x TSMOM,1971-02-08,2026-07-07,11.1%,15.7%,0.4769745877670134,0.5007972277836961,-52.2%,-35.6%,336.28391302942947
S&P 500 2x TSMOM,1950-01-04,2026-07-07,13.6%,24.3%,0.4764171343142829,0.5074464587727998,-59.9%,-30.8%,17783.56438837445
S&P 500 3x B&H,1950-01-04,2026-07-07,15.6%,47.3%,0.4598326116424409,0.5884858642383631,-97.4%,-85.6%,66245.33387706941
S&P 500 2x B&H,1950-01-04,2026-07-07,14.5%,31.5%,0.455072847842597,0.5824253477866664,-85.4%,-67.1%,31565.559834115462
Nasdaq Comp 3x TSMOM,1971-02-08,2026-07-07,15.2%,47.0%,0.44932136098789893,0.4717637987933487,-94.8%,-87.4%,2499.0837839868173
Nasdaq Comp 2x TSMOM,1971-02-08,2026-07-07,14.2%,31.4%,0.44486281582296805,0.4671362374315755,-82.7%,-68.5%,1532.758472235937
Nasdaq Comp 1x B&H,1971-02-08,2026-07-07,11.2%,20.1%,0.4169496755299113,0.5230571750309844,-77.6%,-40.2%,360.02362411161386
Nasdaq Comp 3x B&H,1971-02-08,2026-07-07,9.5%,60.4%,0.38468068866217664,0.48268084243154563,-99.9%,-90.3%,150.9895291150243
Nasdaq Comp 2x B&H,1971-02-08,2026-07-07,12.1%,40.3%,0.3809573440235916,0.4780327548455956,-98.0%,-72.6%,569.2238375069484
