Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
BSE,9.423682409308693,0.47621077758453634,1.000394918036665,-0.718671366094389,0.563112456996359,1.2375459017961508,-0.4045531335083824,BSE Ltd.,Financial Services
DIXON,8.802190280629706,0.4243550017661426,0.9447905973797807,-0.5733257750244675,0.4581393854053666,1.2022355046798705,-0.330748224627456,Dixon Technologies (India) Ltd.,Consumer Durables
KALYANKJIL,5.284052019164956,0.35773392899492884,0.7770694643170173,-0.5789211942953041,0.48699263737786835,1.1962138825017128,-0.3872444131778756,Kalyan Jewellers India Ltd.,Consumer Durables
POWERINDIA,6.272416153319644,0.8327744322981163,1.473569368496075,-0.40305983306695803,0.5360085124242417,1.1405776844866713,-0.40530546334895134,Hitachi Energy India Ltd.,Capital Goods
ATGL,7.671457905544147,0.33746554587582844,0.694995955935548,-0.8804822254164064,0.5280822652594444,1.0997797512446286,-0.5027852856438878,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
KPITTECH,7.211498973305955,0.2701702180757115,0.6291641469975036,-0.6997403573455365,0.44529010708655514,1.0811589857090147,-0.4722031794315077,KPIT Technologies Ltd.,Information Technology
RVNL,7.241615331964408,0.4442022567996995,0.8603780412544251,-0.6429766945744905,0.4885276324684411,1.0456139824222757,-0.4480249536067864,Rail Vikas Nigam Ltd.,Construction
LAURUSLABS,9.54962354551677,0.3358254458832872,0.8407677287390442,-0.5888896224039395,0.35642679256742205,1.036131088326727,-0.36089624414027444,Laurus Labs Ltd.,Healthcare
PERSISTENT,16.254620123203285,0.28275811563142184,0.7397532278046463,-0.464044817797453,0.2830511232999702,0.8639506864391813,-0.41348171738969663,Persistent Systems Ltd.,Information Technology
KPRMILL,18.861054072553046,0.2705419566814473,0.628930747878342,-0.8887590318332341,0.3238608738360518,0.8533345755272681,-0.38890590118286317,K.P.R. Mill Ltd.,Textiles
HAVELLS,24.019164955509925,0.33041438909843324,0.776976980791369,-0.8483033191353558,0.31600108431581253,0.8432368349419744,-0.41277662130435766,Havells India Ltd.,Consumer Durables
