strategy,start,end,CAGR,AnnVol,Sharpe,Sortino,MaxDD,WorstYear,Growth of $1
Nasdaq 100 LRS-Fortress 70/30,2016-07-01,2026-07-07,38.1%,33.8%,1.0594593562397945,1.3479601203834946,-43.9%,-39.2%,25.263759552400973
Nasdaq 100 3x LRS-VT2 (bond-mom),2016-07-01,2026-07-07,51.6%,50.9%,1.0329868925794166,1.2554176537785589,-59.5%,-55.4%,64.37512524565534
Nasdaq 100 3x LRS-Defense,2016-07-01,2026-07-07,44.0%,44.6%,0.9950574369583037,1.209737770621255,-51.1%,-45.2%,38.459129837091794
Nasdaq 100 1x SMA200,2016-07-01,2026-07-07,18.7%,16.7%,0.9774581609591995,1.1299523659051995,-22.0%,-16.8%,5.573554905394792
Nasdaq 100 3x LRS-VT (UST10),2016-07-01,2026-07-07,45.5%,48.3%,0.977339425675707,1.1990714453081033,-57.9%,-50.2%,42.86469077373016
Nasdaq 100 60/40 Defense+bonds,2016-07-01,2026-07-07,28.0%,26.7%,0.9758784850959799,1.192146182152888,-32.3%,-28.1%,11.8180226960047
Nasdaq Comp LRS-Fortress 70/30,2016-07-01,2026-07-07,31.8%,31.4%,0.967410504890155,1.2015158877583927,-47.2%,-34.0%,15.857691724255943
Nasdaq Comp 1x SMA200,2016-07-01,2026-07-07,17.4%,15.7%,0.9636065691517411,1.1014605857223165,-23.1%,-5.5%,5.00675048789076
Nasdaq 100 3x SMA200,2016-07-01,2026-07-07,45.6%,50.1%,0.9608397000966881,1.1099780378787278,-55.1%,-44.9%,43.001439510032554
Nasdaq 100 2x SMA200,2016-07-01,2026-07-07,32.8%,33.4%,0.953127366416218,1.1012492720501192,-40.2%,-32.1%,17.179013938382553
Nasdaq Comp 3x LRS-VT2 (bond-mom),2016-07-01,2026-07-07,41.9%,46.0%,0.9483002052920692,1.129252186156912,-52.1%,-41.7%,33.38954826394783
Nasdaq Comp 3x SMA200,2016-07-01,2026-07-07,42.5%,47.0%,0.9460905572755962,1.079884591695494,-56.7%,-19.6%,34.62635201090146
Nasdaq Comp 2x SMA200,2016-07-01,2026-07-07,30.5%,31.3%,0.938000477940631,1.0710647830074371,-41.7%,-12.7%,14.3696214489643
Nasdaq Comp 3x LRS-VT (UST10),2016-07-01,2026-07-07,39.2%,43.2%,0.9334092261588173,1.1404485686189179,-45.5%,-30.1%,27.38303250435767
S&P 500 LRS-Fortress 70/30,2016-07-01,2026-07-07,24.2%,25.1%,0.901033558808268,1.1188635199288264,-46.8%,-40.5%,8.750864832775788
Nasdaq Comp 3x LRS-Defense,2016-07-01,2026-07-07,35.3%,40.7%,0.8964364413149652,1.0517298555944248,-55.0%,-37.8%,20.709311490043707
Nasdaq 100 1x TSMOM,2016-07-01,2026-07-07,20.3%,20.5%,0.8942691435884661,1.046271688721198,-28.0%,-18.3%,6.341459334376184
Nasdaq Comp 60/40 Defense+bonds,2016-07-01,2026-07-07,22.8%,24.4%,0.8755640169805262,1.0313099754360568,-35.5%,-22.9%,7.837274430715939
Nasdaq 100 1x B&H,2016-07-01,2026-07-07,21.5%,22.6%,0.8745058627304256,1.1183151793717694,-35.2%,-32.6%,7.011069714484206
Nasdaq 100 3x TSMOM,2016-07-01,2026-07-07,43.8%,61.5%,0.8675378181768553,1.0149588828767884,-69.9%,-53.1%,38.00886131033996
Nasdaq 100 2x TSMOM,2016-07-01,2026-07-07,33.8%,41.0%,0.8639740091191908,1.0108183186492088,-51.6%,-37.1%,18.50358752133613
Nasdaq 100 3x B&H,2016-07-01,2026-07-07,43.7%,67.9%,0.8457960355289212,1.0816680818589821,-81.7%,-79.0%,37.723616397460404
Nasdaq 100 2x B&H,2016-07-01,2026-07-07,35.0%,45.3%,0.8424833631595168,1.0774315853313055,-63.7%,-60.5%,20.197097907973372
S&P 500 3x LRS-Defense,2016-07-01,2026-07-07,26.2%,30.9%,0.8395090768854968,0.982835051492569,-53.9%,-46.1%,10.310148682804659
S&P 500 1x B&H,2016-07-01,2026-07-07,16.9%,18.0%,0.8322888514213223,1.0015727193184814,-33.7%,-17.1%,4.775110611697413
S&P 500 3x LRS-VT2 (bond-mom),2016-07-01,2026-07-07,28.5%,34.9%,0.831550536046626,0.9740459163644322,-58.8%,-52.5%,12.30245630289055
S&P 500 1x SMA200,2016-07-01,2026-07-07,11.8%,11.8%,0.8149664076538327,0.8980277126895376,-19.6%,-14.5%,3.0602887562901127
S&P 500 60/40 Defense+bonds,2016-07-01,2026-07-07,16.8%,18.5%,0.8123624068239086,0.9560296186343503,-35.2%,-29.6%,4.7293110713554025
S&P 500 3x LRS-VT (UST10),2016-07-01,2026-07-07,26.0%,33.0%,0.8022867856968698,0.9628673142216638,-50.8%,-43.8%,10.157552094541577
S&P 500 3x SMA200,2016-07-01,2026-07-07,27.4%,35.4%,0.8014767829896025,0.8821890040994405,-49.5%,-39.4%,11.298765570316109
S&P 500 3x B&H,2016-07-01,2026-07-07,35.5%,54.1%,0.7962596960552888,0.9590128130881272,-76.6%,-54.9%,20.90586138498201
Nasdaq Comp 1x B&H,2016-07-01,2026-07-07,18.9%,22.1%,0.7946827927689495,1.0059574190710876,-36.0%,-32.7%,5.660444619466027
S&P 500 2x B&H,2016-07-01,2026-07-07,27.4%,36.1%,0.7921024858207467,0.9540058814282959,-59.1%,-37.3%,11.294348148169643
S&P 500 2x SMA200,2016-07-01,2026-07-07,19.7%,23.6%,0.7882262296663459,0.8679282846570827,-35.9%,-27.9%,6.075342451926258
Nasdaq Comp 3x B&H,2016-07-01,2026-07-07,35.8%,66.2%,0.7652062970928897,0.968715498165222,-82.2%,-78.9%,21.429033277914833
Nasdaq Comp 2x B&H,2016-07-01,2026-07-07,29.7%,44.1%,0.7618051629764213,0.9644098209348091,-64.5%,-60.5%,13.508119641194709
S&P 500 1x TSMOM,2016-07-01,2026-07-07,13.6%,15.9%,0.7416260836468938,0.793705780562853,-33.7%,-10.4%,3.5957144226034323
S&P 500 3x TSMOM,2016-07-01,2026-07-07,27.6%,47.8%,0.7091594927242637,0.7597256702770774,-76.6%,-34.5%,11.498207318805735
S&P 500 2x TSMOM,2016-07-01,2026-07-07,21.5%,31.9%,0.7043404669337322,0.7545827540021837,-59.1%,-22.9%,7.05883509701297
Nasdaq Comp 1x TSMOM,2016-07-01,2026-07-07,14.3%,19.4%,0.6700172355432691,0.7483152090889357,-30.1%,-18.3%,3.809573816156501
Nasdaq Comp 3x TSMOM,2016-07-01,2026-07-07,25.2%,58.3%,0.6449248198132507,0.7202787350978854,-76.0%,-52.8%,9.506192182258228
Nasdaq Comp 2x TSMOM,2016-07-01,2026-07-07,21.5%,38.8%,0.6408911304190255,0.7157931285605019,-56.2%,-37.0%,7.04180146671504
